t,ur,ui,ir,ii,omega
21.7,0.755147090257796,-0.6089704159962214,-0.6733886736638196,0.7171470210254649,-1.5304966698863787
21.8,0.6497825970663538,-0.722590029293306,-0.5949950670348234,0.7148868245450748,-1.5975360138180683
21.9,0.5274509169130024,-0.8171162754666882,-0.4747574022513418,0.8596683445289369,-1.5918831108398201
22.0,0.392441002146343,-0.8902318373927635,-0.30908546576237206,0.9652607060554782,-1.580051756850711
22.1,0.2478777398823626,-0.9371047648725673,-0.1708999802092327,0.9708943636248881,-1.5661015759479113
22.2,0.1009255984912748,-0.9628233686654583,-0.03205899513695348,0.9921509432223303,-1.5415083758381698
22.3,-0.051586845621021726,-0.9661065432221603,0.17216401475152876,1.0071495761867422,-1.5778711803777412
22.4,-0.2022860542695366,-0.9469499026691096,0.317284981501187,0.9179898082095438,-1.5710938013447695
22.5,-0.34999531544409485,-0.9034229320564653,0.3769695329537056,0.8756206438803444,-1.5915090361663253
22.6,-0.48561344300350023,-0.8371104752427876,0.5838974633999194,0.8638422524920191,-1.5605740922192268
22.7,-0.6093941041452463,-0.753011264816456,0.6592645640187216,0.6968115386957363,-1.5470795681462413
22.8,-0.717712194170518,-0.6563534018093931,0.8442478918360645,0.6171306761208253,-1.4965180890549412
22.9,-0.803013937089524,-0.5516683757387288,1.1274411453326119,0.5495471882028633,-1.3882700333805786
23.0,-0.8715899290460704,-0.44958230893214884,1.516482044135764,0.4701062348046141,-1.2572361640837926
23.1,-0.9149102693697452,-0.3589397801612652,1.8975526549601236,0.29883683249080717,-1.0235199447143728
23.2,-0.9486365477098865,-0.26797565365758974,2.27292879106039,0.09749201608557423,-0.9855866299498928
23.3,-0.9721442854039329,-0.19299538012539236,2.5801267459606976,-0.14845902673033495,-0.7933428951745469
23.4,-0.9856910066707654,-0.13539959871815715,2.8095707461989425,-0.34785292181554583,-0.5946650252072949
23.5,-0.9920697530091775,-0.09333828327127297,2.999090313259795,-0.47398043491420694,-0.4270256479856016
23.6,-0.9971657878529205,-0.06888570384624632,3.0778644196724714,-0.5641759182141854,-0.24836335603312776
23.7,-0.9972557212791063,-0.06392148728823138,3.0943893113899974,-0.6032352202318323,-0.04962094292746855
23.8,-0.997251948928745,-0.06207433754319602,3.1157177455534697,-0.6046155929305652,-0.018446355637813383
23.9,-0.9995817405826449,-0.0702716234358296,2.976272370716327,-0.494927598741984,0.08020367270351159
24.0,-0.9944271520929384,-0.07711752473495026,2.7386997882370894,-0.3501358930304176,0.0720924081416996
24.1,-0.9910674140386699,-0.08613850807194273,2.4172924071207325,-0.30352963279451395,0.0930221619072924
24.2,-0.9833564158689315,-0.09438400473609193,2.067288550854963,-0.17720440409494725,0.08991345744560064
24.3,-0.9796093742083505,-0.10394606673036738,1.8881605286202265,-0.08678371708514565,0.1002578193743453
24.4,-0.9743931360507573,-0.1034061244217302,1.689965452497497,0.02742958597554246,0.00013752470307437648
24.5,-0.971945635480019,-0.11198788103275997,1.5885912528259685,-0.05368632289606584,0.08986567260231837
24.6,-0.9745484251399239,-0.11054980927860286,1.5377188888045072,-0.0669144482075621,-0.01760345213565273
24.7,-0.9673879403610582,-0.10640924262805734,1.6056306687630586,-0.011953115670294667,-0.0339809150594661
24.8,-0.975285671529653,-0.10810415529588163,1.6449337364698287,-0.04279689122462571,0.008369221210280386
24.9,-0.9773031236593355,-0.10284665663219567,1.7861105026537343,-0.040211490526860794,-0.05543691124458405
25.0,-0.9783618215433355,-0.09936856948785361,1.8820070385694188,-0.19876572545942878,-0.036300718600195125
25.1,-0.979732926838274,-0.10057843854325871,1.9882813601733813,-0.17807892569575523,0.010814812960315834
25.2,-0.9827696001465422,-0.09431612648210586,2.0712508174301,-0.1864026866777756,-0.06623955465205
25.3,-0.9821301110220704,-0.09360397239124885,2.1474110385176766,-0.18804703922651184,-0.006566175939983765
25.4,-0.9807988378303248,-0.09421638490705386,2.1719640530621898,-0.16695909415803117,0.007469270078281909
25.5,-0.9853395975357326,-0.09063513534357268,2.114659648541247,-0.22929027994836065,-0.04041479614015131
25.6,-0.9799031039208767,-0.09822775486507138,2.166924370909441,-0.2683457922364474,0.08183024347230727
25.7,-0.9827696185559907,-0.0919159737732893,2.0953141552482113,-0.12298297824043708,-0.06652358515324863
25.8,-0.9830685469015735,-0.0937474696584959,2.0345728792429787,-0.1806195407998401,0.018183802046518593
25.9,-0.9774684569967815,-0.1016018707146302,2.065486904221821,-0.17556839010946101,0.08497363467165897
26.0,-0.9828095527529779,-0.09504817881240465,1.9197500751768943,-0.11378536177066634,-0.07161097777032666
26.1,-0.9806808016562834,-0.10302067155948963,1.9690364523906576,-0.16400727469264847,0.08255417600157244
26.2,-0.9779629253406543,-0.10153169761609424,1.9612365802518148,-0.12280580630335314,-0.012173021471326706
26.3,-0.9793214025334855,-0.09535658595305338,1.9635941224811768,-0.17639296676881683,-0.06384883210564851
26.4,-0.9796455252424192,-0.10068150275364304,1.9110072227738621,-0.13395240806442682,0.05349752281594178
26.5,-0.9796667669696302,-0.09726547758597787,1.9536987463164137,-0.09074026378974437,-0.03453897351731072
26.6,-0.9799401456909509,-0.09978498613871803,2.015556992339386,-0.16426799282987187,0.025179250163613887
26.7,-0.9824164575098113,-0.10098711001465505,1.9532973424286963,-0.2295837957945011,0.009569526201129719
